Object ID: 35, Bounding Box: [277.0, 249.0, 290.0, 282.0]
Object ID: 36, Bounding Box: [73.0, 248.0, 84.0, 269.0]
Object ID: 37, Bounding Box: [50.0, 250.0, 65.0, 305.0]
Object ID: 38, Bounding Box: [170.0, 267.0, 195.0, 294.0]
Object ID: 39, Bounding Box: [552.0, 255.0, 571.0, 299.0]
Object ID: 40, Bounding Box: [227.0, 248.0, 239.0, 273.0]
Object ID: 41, Bounding Box: [518.0, 252.0, 533.0, 295.0]
Object ID: 42, Bounding Box: [530.0, 247.0, 554.0, 257.0]
Object ID: 43, Bounding Box: [309.0, 248.0, 321.0, 268.0]
Object ID: 44, Bounding Box: [480.0, 246.0, 522.0, 263.0]
Object ID: 45, Bounding Box: [608.0, 238.0, 621.0, 248.0]
Object ID: 46, Bounding Box: [391.0, 247.0, 412.0, 293.0]
Object ID: 47, Bounding Box: [582.0, 246.0, 607.0, 255.0]
Object ID: 48, Bounding Box: [187.0, 249.0, 199.0, 274.0]
Object ID: 49, Bounding Box: [549.0, 245.0, 572.0, 258.0]
Object ID: 50, Bounding Box: [528.0, 252.0, 538.0, 293.0]
Object ID: 51, Bounding Box: [422.0, 252.0, 434.0, 289.0]
Object ID: 52, Bounding Box: [21.0, 253.0, 28.0, 272.0]
Object ID: 53, Bounding Box: [408.0, 251.0, 420.0, 291.0]
Object ID: 54, Bounding Box: [569.0, 258.0, 589.0, 308.0]
Object ID: 55, Bounding Box: [222.0, 227.0, 230.0, 235.0]
Object ID: 56, Bounding Box: [510.0, 255.0, 525.0, 299.0]
Object ID: 57, Bounding Box: [538.0, 254.0, 556.0, 293.0]
Object ID: 58, Bounding Box: [409.0, 249.0, 464.0, 270.0]
Object ID: 59, Bounding Box: [590.0, 246.0, 611.0, 254.0]
Object ID: 60, Bounding Box: [174.0, 250.0, 186.0, 278.0]
Object ID: 61, Bounding Box: [410.0, 251.0, 419.0, 272.0]
Object ID: 62, Bounding Box: [19.0, 251.0, 25.0, 272.0]
Object ID: 63, Bounding Box: [424.0, 251.0, 443.0, 291.0]
Object ID: 64, Bounding Box: [274.0, 248.0, 283.0, 278.0]
Object ID: 65, Bounding Box: [0.0, 249.0, 11.0, 267.0]
Object ID: 66, Bounding Box: [563.0, 246.0, 582.0, 254.0]
Object ID: 67, Bounding Box: [0.0, 235.0, 20.0, 353.0]
Object ID: 68, Bounding Box: [176.0, 250.0, 184.0, 270.0]
Object ID: 69, Bounding Box: [53.0, 269.0, 63.0, 294.0]
Object ID: 70, Bounding Box: [582.0, 150.0, 601.0, 167.0]
Object ID: 71, Bounding Box: [208.0, 189.0, 226.0, 226.0]
Object ID: 72, Bounding Box: [493.0, 246.0, 525.0, 259.0]
Object ID: 73, Bounding Box: [297.0, 249.0, 306.0, 273.0]
Object ID: 74, Bounding Box: [157.0, 247.0, 165.0, 263.0]
Object ID: 75, Bounding Box: [310.0, 250.0, 351.0, 344.0]
Object ID: 76, Bounding Box: [119.0, 248.0, 129.0, 262.0]
Object ID: 77, Bounding Box: [536.0, 256.0, 549.0, 291.0]
Object ID: 78, Bounding Box: [320.0, 249.0, 328.0, 266.0]
Object ID: 79, Bounding Box: [482.0, 248.0, 511.0, 273.0]
Object ID: 80, Bounding Box: [198.0, 251.0, 208.0, 268.0]
Object ID: 81, Bounding Box: [600.0, 255.0, 611.0, 299.0]
Object ID: 82, Bounding Box: [324.0, 249.0, 334.0, 266.0]
Object ID: 83, Bounding Box: [192.0, 260.0, 213.0, 320.0]
Object ID: 84, Bounding Box: [478.0, 252.0, 491.0, 288.0]
Object ID: 85, Bounding Box: [50.0, 263.0, 62.0, 291.0]
Object ID: 86, Bounding Box: [121.0, 251.0, 133.0, 286.0]
Object ID: 87, Bounding Box: [383.0, 250.0, 404.0, 288.0]
Object ID: 88, Bounding Box: [483.0, 248.0, 497.0, 289.0]
Object ID: 89, Bounding Box: [129.0, 250.0, 138.0, 280.0]
Object ID: 90, Bounding Box: [120.0, 279.0, 169.0, 324.0]
Object ID: 91, Bounding Box: [569.0, 254.0, 579.0, 292.0]
Object ID: 92, Bounding Box: [206.0, 251.0, 216.0, 270.0]
Object ID: 93, Bounding Box: [587.0, 255.0, 601.0, 285.0]
Object ID: 94, Bounding Box: [416.0, 251.0, 436.0, 271.0]
Object ID: 95, Bounding Box: [142.0, 276.0, 155.0, 289.0]
Object ID: 96, Bounding Box: [437.0, 245.0, 571.0, 269.0]
Object ID: 97, Bounding Box: [480.0, 247.0, 504.0, 257.0]
Object ID: 98, Bounding Box: [213.0, 218.0, 220.0, 226.0]
Object ID: 99, Bounding Box: [574.0, 246.0, 614.0, 260.0]
Object ID: 0, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 1, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 2, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 0, Bounding Box: [78.0, 247.0, 106.0, 345.0]
Object ID: 1, Bounding Box: [546.0, 141.0, 561.0, 168.0]
Object ID: 2, Bounding Box: [25.0, 248.0, 64.0, 313.0]
Object ID: 3, Bounding Box: [275.0, 297.0, 365.0, 381.0]
Object ID: 4, Bounding Box: [293.0, 262.0, 342.0, 344.0]
Object ID: 5, Bounding Box: [229.0, 251.0, 257.0, 314.0]
Object ID: 6, Bounding Box: [130.0, 248.0, 160.0, 314.0]
Object ID: 7, Bounding Box: [259.0, 251.0, 272.0, 286.0]
Object ID: 8, Bounding Box: [442.0, 141.0, 453.0, 174.0]
Object ID: 9, Bounding Box: [102.0, 250.0, 130.0, 331.0]
Object ID: 10, Bounding Box: [431.0, 249.0, 448.0, 292.0]
Object ID: 11, Bounding Box: [583.0, 306.0, 639.0, 376.0]
Object ID: 12, Bounding Box: [134.0, 279.0, 155.0, 324.0]
Object ID: 13, Bounding Box: [199.0, 193.0, 209.0, 225.0]
Object ID: 14, Bounding Box: [486.0, 248.0, 505.0, 293.0]
Object ID: 15, Bounding Box: [457.0, 252.0, 473.0, 294.0]
Object ID: 16, Bounding Box: [157.0, 251.0, 181.0, 293.0]
Object ID: 17, Bounding Box: [196.0, 257.0, 225.0, 322.0]
Object ID: 18, Bounding Box: [367.0, 266.0, 385.0, 322.0]
Object ID: 19, Bounding Box: [442.0, 250.0, 463.0, 268.0]
Object ID: 20, Bounding Box: [0.0, 290.0, 19.0, 347.0]
Object ID: 21, Bounding Box: [417.0, 251.0, 431.0, 291.0]
Object ID: 22, Bounding Box: [501.0, 256.0, 522.0, 303.0]
Object ID: 23, Bounding Box: [342.0, 254.0, 367.0, 327.0]
Object ID: 24, Bounding Box: [604.0, 254.0, 619.0, 299.0]
Object ID: 25, Bounding Box: [472.0, 250.0, 487.0, 289.0]
Object ID: 26, Bounding Box: [469.0, 255.0, 477.0, 284.0]
Object ID: 27, Bounding Box: [574.0, 257.0, 601.0, 310.0]
Object ID: 28, Bounding Box: [212.0, 253.0, 233.0, 312.0]
Object ID: 29, Bounding Box: [217.0, 199.0, 227.0, 226.0]
Object ID: 30, Bounding Box: [323.0, 248.0, 350.0, 300.0]
Object ID: 31, Bounding Box: [211.0, 198.0, 223.0, 226.0]
Object ID: 32, Bounding Box: [398.0, 249.0, 420.0, 295.0]
Object ID: 33, Bounding Box: [585.0, 254.0, 606.0, 308.0]
Object ID: 34, Bounding Box: [153.0, 267.0, 189.0, 294.0]
Object ID: 35, Bounding Box: [277.0, 249.0, 290.0, 282.0]
Object ID: 36, Bounding Box: [73.0, 248.0, 84.0, 269.0]
Object ID: 37, Bounding Box: [50.0, 250.0, 65.0, 305.0]
Object ID: 38, Bounding Box: [170.0, 267.0, 195.0, 294.0]
Object ID: 39, Bounding Box: [552.0, 255.0, 571.0, 299.0]
Object ID: 40, Bounding Box: [227.0, 248.0, 239.0, 273.0]
Object ID: 41, Bounding Box: [518.0, 252.0, 533.0, 295.0]
Object ID: 42, Bounding Box: [530.0, 247.0, 554.0, 257.0]
Object ID: 43, Bounding Box: [309.0, 248.0, 321.0, 268.0]
Object ID: 44, Bounding Box: [480.0, 246.0, 522.0, 263.0]
Object ID: 45, Bounding Box: [608.0, 238.0, 621.0, 248.0]
Object ID: 46, Bounding Box: [391.0, 247.0, 412.0, 293.0]
Object ID: 47, Bounding Box: [582.0, 246.0, 607.0, 255.0]
Object ID: 48, Bounding Box: [187.0, 249.0, 199.0, 274.0]
Object ID: 49, Bounding Box: [549.0, 245.0, 572.0, 258.0]
Object ID: 50, Bounding Box: [528.0, 252.0, 538.0, 293.0]
Object ID: 51, Bounding Box: [422.0, 252.0, 434.0, 289.0]
Object ID: 52, Bounding Box: [21.0, 253.0, 28.0, 272.0]
Object ID: 53, Bounding Box: [408.0, 251.0, 420.0, 291.0]
Object ID: 54, Bounding Box: [569.0, 258.0, 589.0, 308.0]
Object ID: 55, Bounding Box: [222.0, 227.0, 230.0, 235.0]
Object ID: 56, Bounding Box: [510.0, 255.0, 525.0, 299.0]
Object ID: 57, Bounding Box: [538.0, 254.0, 556.0, 293.0]
Object ID: 58, Bounding Box: [409.0, 249.0, 464.0, 270.0]
Object ID: 59, Bounding Box: [590.0, 246.0, 611.0, 254.0]
Object ID: 60, Bounding Box: [174.0, 250.0, 186.0, 278.0]
Object ID: 61, Bounding Box: [410.0, 251.0, 419.0, 272.0]
Object ID: 62, Bounding Box: [19.0, 251.0, 25.0, 272.0]
Object ID: 63, Bounding Box: [424.0, 251.0, 443.0, 291.0]
Object ID: 64, Bounding Box: [274.0, 248.0, 283.0, 278.0]
Object ID: 65, Bounding Box: [0.0, 249.0, 11.0, 267.0]
Object ID: 66, Bounding Box: [563.0, 246.0, 582.0, 254.0]
Object ID: 67, Bounding Box: [0.0, 235.0, 20.0, 353.0]
Object ID: 68, Bounding Box: [176.0, 250.0, 184.0, 270.0]
Object ID: 69, Bounding Box: [53.0, 269.0, 63.0, 294.0]
Object ID: 70, Bounding Box: [582.0, 150.0, 601.0, 167.0]
Object ID: 71, Bounding Box: [208.0, 189.0, 226.0, 226.0]
Object ID: 72, Bounding Box: [493.0, 246.0, 525.0, 259.0]
Object ID: 73, Bounding Box: [297.0, 249.0, 306.0, 273.0]
Object ID: 74, Bounding Box: [157.0, 247.0, 165.0, 263.0]
Object ID: 75, Bounding Box: [310.0, 250.0, 351.0, 344.0]
Object ID: 76, Bounding Box: [119.0, 248.0, 129.0, 262.0]
Object ID: 77, Bounding Box: [536.0, 256.0, 549.0, 291.0]
Object ID: 78, Bounding Box: [320.0, 249.0, 328.0, 266.0]
Object ID: 79, Bounding Box: [482.0, 248.0, 511.0, 273.0]
Object ID: 80, Bounding Box: [198.0, 251.0, 208.0, 268.0]
Object ID: 81, Bounding Box: [600.0, 255.0, 611.0, 299.0]
Object ID: 82, Bounding Box: [324.0, 249.0, 334.0, 266.0]
Object ID: 83, Bounding Box: [192.0, 260.0, 213.0, 320.0]
Object ID: 84, Bounding Box: [478.0, 252.0, 491.0, 288.0]
Object ID: 85, Bounding Box: [50.0, 263.0, 62.0, 291.0]
Object ID: 86, Bounding Box: [121.0, 251.0, 133.0, 286.0]
Object ID: 87, Bounding Box: [383.0, 250.0, 404.0, 288.0]
Object ID: 88, Bounding Box: [483.0, 248.0, 497.0, 289.0]
Object ID: 89, Bounding Box: [129.0, 250.0, 138.0, 280.0]
Object ID: 90, Bounding Box: [120.0, 279.0, 169.0, 324.0]
Object ID: 91, Bounding Box: [569.0, 254.0, 579.0, 292.0]
Object ID: 92, Bounding Box: [206.0, 251.0, 216.0, 270.0]
Object ID: 93, Bounding Box: [587.0, 255.0, 601.0, 285.0]
Object ID: 94, Bounding Box: [416.0, 251.0, 436.0, 271.0]
Object ID: 95, Bounding Box: [142.0, 276.0, 155.0, 289.0]
Object ID: 96, Bounding Box: [437.0, 245.0, 571.0, 269.0]
Object ID: 97, Bounding Box: [480.0, 247.0, 504.0, 257.0]
Object ID: 98, Bounding Box: [213.0, 218.0, 220.0, 226.0]
Object ID: 99, Bounding Box: [574.0, 246.0, 614.0, 260.0]
Object ID: 0, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 1, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 2, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 0, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 1, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 2, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 0, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 1, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 2, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 0, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 1, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 2, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 0, Bounding Box: [78.0, 247.0, 106.0, 345.0]
Object ID: 1, Bounding Box: [546.0, 141.0, 561.0, 168.0]
Object ID: 2, Bounding Box: [25.0, 248.0, 64.0, 313.0]
Object ID: 3, Bounding Box: [275.0, 297.0, 365.0, 381.0]
Object ID: 4, Bounding Box: [293.0, 262.0, 342.0, 344.0]
Object ID: 5, Bounding Box: [229.0, 251.0, 257.0, 314.0]
Object ID: 6, Bounding Box: [130.0, 248.0, 160.0, 314.0]
Object ID: 7, Bounding Box: [259.0, 251.0, 272.0, 286.0]
Object ID: 8, Bounding Box: [442.0, 141.0, 453.0, 174.0]
Object ID: 9, Bounding Box: [102.0, 250.0, 130.0, 331.0]
Object ID: 10, Bounding Box: [431.0, 249.0, 448.0, 292.0]
Object ID: 11, Bounding Box: [583.0, 306.0, 639.0, 376.0]
Object ID: 12, Bounding Box: [134.0, 279.0, 155.0, 324.0]
Object ID: 13, Bounding Box: [199.0, 193.0, 209.0, 225.0]
Object ID: 14, Bounding Box: [486.0, 248.0, 505.0, 293.0]
Object ID: 15, Bounding Box: [457.0, 252.0, 473.0, 294.0]
Object ID: 16, Bounding Box: [157.0, 251.0, 181.0, 293.0]
Object ID: 17, Bounding Box: [196.0, 257.0, 225.0, 322.0]
Object ID: 18, Bounding Box: [367.0, 266.0, 385.0, 322.0]
Object ID: 19, Bounding Box: [442.0, 250.0, 463.0, 268.0]
Object ID: 20, Bounding Box: [0.0, 290.0, 19.0, 347.0]
Object ID: 21, Bounding Box: [417.0, 251.0, 431.0, 291.0]
Object ID: 22, Bounding Box: [501.0, 256.0, 522.0, 303.0]
Object ID: 23, Bounding Box: [342.0, 254.0, 367.0, 327.0]
Object ID: 24, Bounding Box: [604.0, 254.0, 619.0, 299.0]
Object ID: 25, Bounding Box: [472.0, 250.0, 487.0, 289.0]
Object ID: 26, Bounding Box: [469.0, 255.0, 477.0, 284.0]
Object ID: 27, Bounding Box: [574.0, 257.0, 601.0, 310.0]
Object ID: 28, Bounding Box: [212.0, 253.0, 233.0, 312.0]
Object ID: 29, Bounding Box: [217.0, 199.0, 227.0, 226.0]
Object ID: 30, Bounding Box: [323.0, 248.0, 350.0, 300.0]
Object ID: 31, Bounding Box: [211.0, 198.0, 223.0, 226.0]
Object ID: 32, Bounding Box: [398.0, 249.0, 420.0, 295.0]
Object ID: 33, Bounding Box: [585.0, 254.0, 606.0, 308.0]
Object ID: 34, Bounding Box: [153.0, 267.0, 189.0, 294.0]
Object ID: 35, Bounding Box: [277.0, 249.0, 290.0, 282.0]
Object ID: 36, Bounding Box: [73.0, 248.0, 84.0, 269.0]
Object ID: 37, Bounding Box: [50.0, 250.0, 65.0, 305.0]
Object ID: 38, Bounding Box: [170.0, 267.0, 195.0, 294.0]
Object ID: 39, Bounding Box: [552.0, 255.0, 571.0, 299.0]
Object ID: 40, Bounding Box: [227.0, 248.0, 239.0, 273.0]
Object ID: 41, Bounding Box: [518.0, 252.0, 533.0, 295.0]
Object ID: 42, Bounding Box: [530.0, 247.0, 554.0, 257.0]
Object ID: 43, Bounding Box: [309.0, 248.0, 321.0, 268.0]
Object ID: 44, Bounding Box: [480.0, 246.0, 522.0, 263.0]
Object ID: 45, Bounding Box: [608.0, 238.0, 621.0, 248.0]
Object ID: 46, Bounding Box: [391.0, 247.0, 412.0, 293.0]
Object ID: 47, Bounding Box: [582.0, 246.0, 607.0, 255.0]
Object ID: 48, Bounding Box: [187.0, 249.0, 199.0, 274.0]
Object ID: 49, Bounding Box: [549.0, 245.0, 572.0, 258.0]
Object ID: 50, Bounding Box: [528.0, 252.0, 538.0, 293.0]
Object ID: 51, Bounding Box: [422.0, 252.0, 434.0, 289.0]
Object ID: 52, Bounding Box: [21.0, 253.0, 28.0, 272.0]
Object ID: 53, Bounding Box: [408.0, 251.0, 420.0, 291.0]
Object ID: 54, Bounding Box: [569.0, 258.0, 589.0, 308.0]
Object ID: 55, Bounding Box: [222.0, 227.0, 230.0, 235.0]
Object ID: 56, Bounding Box: [510.0, 255.0, 525.0, 299.0]
Object ID: 57, Bounding Box: [538.0, 254.0, 556.0, 293.0]
Object ID: 58, Bounding Box: [409.0, 249.0, 464.0, 270.0]
Object ID: 59, Bounding Box: [590.0, 246.0, 611.0, 254.0]
Object ID: 60, Bounding Box: [174.0, 250.0, 186.0, 278.0]
Object ID: 61, Bounding Box: [410.0, 251.0, 419.0, 272.0]
Object ID: 62, Bounding Box: [19.0, 251.0, 25.0, 272.0]
Object ID: 63, Bounding Box: [424.0, 251.0, 443.0, 291.0]
Object ID: 64, Bounding Box: [274.0, 248.0, 283.0, 278.0]
Object ID: 65, Bounding Box: [0.0, 249.0, 11.0, 267.0]
Object ID: 66, Bounding Box: [563.0, 246.0, 582.0, 254.0]
Object ID: 67, Bounding Box: [0.0, 235.0, 20.0, 353.0]
Object ID: 68, Bounding Box: [176.0, 250.0, 184.0, 270.0]
Object ID: 69, Bounding Box: [53.0, 269.0, 63.0, 294.0]
Object ID: 70, Bounding Box: [582.0, 150.0, 601.0, 167.0]
Object ID: 71, Bounding Box: [208.0, 189.0, 226.0, 226.0]
Object ID: 72, Bounding Box: [493.0, 246.0, 525.0, 259.0]
Object ID: 73, Bounding Box: [297.0, 249.0, 306.0, 273.0]
Object ID: 74, Bounding Box: [157.0, 247.0, 165.0, 263.0]
Object ID: 75, Bounding Box: [310.0, 250.0, 351.0, 344.0]
Object ID: 76, Bounding Box: [119.0, 248.0, 129.0, 262.0]
Object ID: 77, Bounding Box: [536.0, 256.0, 549.0, 291.0]
Object ID: 78, Bounding Box: [320.0, 249.0, 328.0, 266.0]
Object ID: 79, Bounding Box: [482.0, 248.0, 511.0, 273.0]
Object ID: 80, Bounding Box: [198.0, 251.0, 208.0, 268.0]
Object ID: 81, Bounding Box: [600.0, 255.0, 611.0, 299.0]
Object ID: 82, Bounding Box: [324.0, 249.0, 334.0, 266.0]
Object ID: 83, Bounding Box: [192.0, 260.0, 213.0, 320.0]
Object ID: 84, Bounding Box: [478.0, 252.0, 491.0, 288.0]
Object ID: 85, Bounding Box: [50.0, 263.0, 62.0, 291.0]
Object ID: 86, Bounding Box: [121.0, 251.0, 133.0, 286.0]
Object ID: 87, Bounding Box: [383.0, 250.0, 404.0, 288.0]
Object ID: 88, Bounding Box: [483.0, 248.0, 497.0, 289.0]
Object ID: 89, Bounding Box: [129.0, 250.0, 138.0, 280.0]
Object ID: 90, Bounding Box: [120.0, 279.0, 169.0, 324.0]
Object ID: 91, Bounding Box: [569.0, 254.0, 579.0, 292.0]
Object ID: 92, Bounding Box: [206.0, 251.0, 216.0, 270.0]
Object ID: 93, Bounding Box: [587.0, 255.0, 601.0, 285.0]
Object ID: 94, Bounding Box: [416.0, 251.0, 436.0, 271.0]
Object ID: 95, Bounding Box: [142.0, 276.0, 155.0, 289.0]
Object ID: 96, Bounding Box: [437.0, 245.0, 571.0, 269.0]
Object ID: 97, Bounding Box: [480.0, 247.0, 504.0, 257.0]
Object ID: 98, Bounding Box: [213.0, 218.0, 220.0, 226.0]
Object ID: 99, Bounding Box: [574.0, 246.0, 614.0, 260.0]
Object ID: 0, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 1, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 2, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 0, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 1, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 2, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 0, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 1, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 2, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 0, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 1, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 2, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 0, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 1, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 2, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 0, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 1, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 2, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 0, Bounding Box: [78.0, 247.0, 106.0, 345.0]
Object ID: 1, Bounding Box: [546.0, 141.0, 561.0, 168.0]
Object ID: 2, Bounding Box: [25.0, 248.0, 64.0, 313.0]
Object ID: 3, Bounding Box: [275.0, 297.0, 365.0, 381.0]
Object ID: 4, Bounding Box: [293.0, 262.0, 342.0, 344.0]
Object ID: 5, Bounding Box: [229.0, 251.0, 257.0, 314.0]
Object ID: 6, Bounding Box: [130.0, 248.0, 160.0, 314.0]
Object ID: 7, Bounding Box: [259.0, 251.0, 272.0, 286.0]
Object ID: 8, Bounding Box: [442.0, 141.0, 453.0, 174.0]
Object ID: 9, Bounding Box: [102.0, 250.0, 130.0, 331.0]
Object ID: 10, Bounding Box: [431.0, 249.0, 448.0, 292.0]
Object ID: 11, Bounding Box: [583.0, 306.0, 639.0, 376.0]
Object ID: 12, Bounding Box: [134.0, 279.0, 155.0, 324.0]
Object ID: 13, Bounding Box: [199.0, 193.0, 209.0, 225.0]
Object ID: 14, Bounding Box: [486.0, 248.0, 505.0, 293.0]
Object ID: 15, Bounding Box: [457.0, 252.0, 473.0, 294.0]
Object ID: 16, Bounding Box: [157.0, 251.0, 181.0, 293.0]
Object ID: 17, Bounding Box: [196.0, 257.0, 225.0, 322.0]
Object ID: 18, Bounding Box: [367.0, 266.0, 385.0, 322.0]
Object ID: 19, Bounding Box: [442.0, 250.0, 463.0, 268.0]
Object ID: 20, Bounding Box: [0.0, 290.0, 19.0, 347.0]
Object ID: 21, Bounding Box: [417.0, 251.0, 431.0, 291.0]
Object ID: 22, Bounding Box: [501.0, 256.0, 522.0, 303.0]
Object ID: 23, Bounding Box: [342.0, 254.0, 367.0, 327.0]
Object ID: 24, Bounding Box: [604.0, 254.0, 619.0, 299.0]
Object ID: 25, Bounding Box: [472.0, 250.0, 487.0, 289.0]
Object ID: 26, Bounding Box: [469.0, 255.0, 477.0, 284.0]
Object ID: 27, Bounding Box: [574.0, 257.0, 601.0, 310.0]
Object ID: 28, Bounding Box: [212.0, 253.0, 233.0, 312.0]
Object ID: 29, Bounding Box: [217.0, 199.0, 227.0, 226.0]
Object ID: 30, Bounding Box: [323.0, 248.0, 350.0, 300.0]
Object ID: 31, Bounding Box: [211.0, 198.0, 223.0, 226.0]
Object ID: 32, Bounding Box: [398.0, 249.0, 420.0, 295.0]
Object ID: 33, Bounding Box: [585.0, 254.0, 606.0, 308.0]
Object ID: 34, Bounding Box: [153.0, 267.0, 189.0, 294.0]
Object ID: 35, Bounding Box: [277.0, 249.0, 290.0, 282.0]
Object ID: 36, Bounding Box: [73.0, 248.0, 84.0, 269.0]
Object ID: 37, Bounding Box: [50.0, 250.0, 65.0, 305.0]
Object ID: 38, Bounding Box: [170.0, 267.0, 195.0, 294.0]
Object ID: 39, Bounding Box: [552.0, 255.0, 571.0, 299.0]
Object ID: 40, Bounding Box: [227.0, 248.0, 239.0, 273.0]
Object ID: 41, Bounding Box: [518.0, 252.0, 533.0, 295.0]
Object ID: 42, Bounding Box: [530.0, 247.0, 554.0, 257.0]
Object ID: 43, Bounding Box: [309.0, 248.0, 321.0, 268.0]
Object ID: 44, Bounding Box: [480.0, 246.0, 522.0, 263.0]
Object ID: 45, Bounding Box: [608.0, 238.0, 621.0, 248.0]
Object ID: 46, Bounding Box: [391.0, 247.0, 412.0, 293.0]
Object ID: 47, Bounding Box: [582.0, 246.0, 607.0, 255.0]
Object ID: 48, Bounding Box: [187.0, 249.0, 199.0, 274.0]
Object ID: 49, Bounding Box: [549.0, 245.0, 572.0, 258.0]
Object ID: 50, Bounding Box: [528.0, 252.0, 538.0, 293.0]
Object ID: 51, Bounding Box: [422.0, 252.0, 434.0, 289.0]
Object ID: 52, Bounding Box: [21.0, 253.0, 28.0, 272.0]
Object ID: 53, Bounding Box: [408.0, 251.0, 420.0, 291.0]
Object ID: 54, Bounding Box: [569.0, 258.0, 589.0, 308.0]
Object ID: 55, Bounding Box: [222.0, 227.0, 230.0, 235.0]
Object ID: 56, Bounding Box: [510.0, 255.0, 525.0, 299.0]
Object ID: 57, Bounding Box: [538.0, 254.0, 556.0, 293.0]
Object ID: 58, Bounding Box: [409.0, 249.0, 464.0, 270.0]
Object ID: 59, Bounding Box: [590.0, 246.0, 611.0, 254.0]
Object ID: 60, Bounding Box: [174.0, 250.0, 186.0, 278.0]
Object ID: 61, Bounding Box: [410.0, 251.0, 419.0, 272.0]
Object ID: 62, Bounding Box: [19.0, 251.0, 25.0, 272.0]
Object ID: 63, Bounding Box: [424.0, 251.0, 443.0, 291.0]
Object ID: 64, Bounding Box: [274.0, 248.0, 283.0, 278.0]
Object ID: 65, Bounding Box: [0.0, 249.0, 11.0, 267.0]
Object ID: 66, Bounding Box: [563.0, 246.0, 582.0, 254.0]
Object ID: 67, Bounding Box: [0.0, 235.0, 20.0, 353.0]
Object ID: 68, Bounding Box: [176.0, 250.0, 184.0, 270.0]
Object ID: 69, Bounding Box: [53.0, 269.0, 63.0, 294.0]
Object ID: 70, Bounding Box: [582.0, 150.0, 601.0, 167.0]
Object ID: 71, Bounding Box: [208.0, 189.0, 226.0, 226.0]
Object ID: 72, Bounding Box: [493.0, 246.0, 525.0, 259.0]
Object ID: 73, Bounding Box: [297.0, 249.0, 306.0, 273.0]
Object ID: 74, Bounding Box: [157.0, 247.0, 165.0, 263.0]
Object ID: 75, Bounding Box: [310.0, 250.0, 351.0, 344.0]
Object ID: 76, Bounding Box: [119.0, 248.0, 129.0, 262.0]
Object ID: 77, Bounding Box: [536.0, 256.0, 549.0, 291.0]
Object ID: 78, Bounding Box: [320.0, 249.0, 328.0, 266.0]
Object ID: 79, Bounding Box: [482.0, 248.0, 511.0, 273.0]
Object ID: 80, Bounding Box: [198.0, 251.0, 208.0, 268.0]
Object ID: 81, Bounding Box: [600.0, 255.0, 611.0, 299.0]
Object ID: 82, Bounding Box: [324.0, 249.0, 334.0, 266.0]
Object ID: 83, Bounding Box: [192.0, 260.0, 213.0, 320.0]
Object ID: 84, Bounding Box: [478.0, 252.0, 491.0, 288.0]
Object ID: 85, Bounding Box: [50.0, 263.0, 62.0, 291.0]
Object ID: 86, Bounding Box: [121.0, 251.0, 133.0, 286.0]
Object ID: 87, Bounding Box: [383.0, 250.0, 404.0, 288.0]
Object ID: 88, Bounding Box: [483.0, 248.0, 497.0, 289.0]
Object ID: 89, Bounding Box: [129.0, 250.0, 138.0, 280.0]
